Author,Title,Type_of_Ban,Secondary Author(s),State,District,Date of Challenge/Removal,Origin of Challenge,Latitude,Longitude
"Chbosky, Stephen",The Perks of Being a Wallflower,Banned in Libraries and Classrooms,,South Dakota,Rapid City Area Schools,2022-04-01,Administrator,44.5,-100.0
"Chbosky, Stephen",The Perks of Being a Wallflower,Banned Pending Investigation,,Tennessee,Collierville Schools,2022-02-01,Administrator,35.860119,-86.660156
"Chbosky, Stephen",The Perks of Being a Wallflower,Banned in Libraries and Classrooms,,Texas,Fredericksburg Independent School District,2022-03-01,Administrator,31.0,-100.0
"Cheng, Andrea","Etched in Clay: The Life of Dave, Enslaved Potter and Poet",Banned in Libraries,,Texas,Katy Independent School District,2022-01-01,Administrator,31.0,-100.0
"Cheng, Andrea",The Year of the Book (Anna Wang Series),Banned in Classrooms,"Halpin, Abigail",Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Cherry, Matthew A.",Hair Love,Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
Chief Seattle,"Brother Eagle, Sister Sky",Banned Pending Investigation,,Florida,Duval County Public Schools,2022-01-01,Administrator,27.994402,-81.760254
Chii,The Bride Was a Boy,Banned Pending Investigation,,Tennessee,Collierville Schools,2022-02-01,Administrator,35.860119,-86.660156
"Chin-Lee, Cynthia",Amelia to Zora: Twenty-Six Women Who Changed the World,Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Chinn, Karen",Sam and the Lucky Money,Banned Pending Investigation,,Florida,Duval County Public Schools,2022-01-01,Administrator,27.994402,-81.760254
"Chmakova, Svetlana",Brave (Berrybrook Middle School Series),Banned Pending Investigation,,Florida,Lee County Schools,2022-03-01,Administrator,27.994402,-81.760254
"Choi, Yangsook",The Name Jar,Banned Pending Investigation,,Florida,Duval County Public Schools,2022-01-01,Administrator,27.994402,-81.760254
"Choi, Yangsook",The Name Jar,Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Cisneros, Sandra",The House on Mango Street,Banned Pending Investigation,,Michigan,Gladwin Community Schools,2022-05-01,Administrator,44.182205,-84.506836
